,NOMBRE,LONGITUD,LATITUD,var,cor,pvalue,p.value.FDR,type,names.modos,sign_cor,pval_NO_fdr,pval_fdr
1912,HUARAYA MOHO,-69.491389,-15.389722,CWDm,-0.431010452961673,0.00526051015957276,0.0789076523935913,I,Ci,-1,1,0
1913,CAPACHICA,-69.8443,-15.6158,CWDm,0.13811499800676,0.414955866007336,0.919972468741508,I,Ci,1,0,0
1914,TARACO,-69.9825,-15.305,CWDm,-0.0828505473816375,0.606564742497844,0.919972468741508,I,Ci,-1,0,0
1915,MAZO CRUZ,-69.711667,-16.745556,CWDm,-0.335661505920502,0.0367039228041802,0.275279421031351,I,Ci,-1,1,0
1916,DESAGUADERO,-69.0404,-16.5688,CWDm,-0.0434913923286016,0.781291483263688,0.919972468741508,I,Ci,-1,0,0
1917,LARAQUERI,-70.067778,-16.1525,CWDm,-0.280710929509746,0.0754402228329288,0.282900835623483,I,Ci,-1,0,0
1918,PUTINA,-69.868028,-14.914889,CWDm,-0.0955908039941636,0.552167690612687,0.919972468741508,I,Ci,-1,0,0
1919,ICHUÑA,-70.53725,-16.14075,CWDm,-0.0933048751269545,0.561756330367474,0.919972468741508,I,Ci,-1,0,0
1920,CAPAZO,-69.745556,-17.186389,CWDm,0.0324959482428437,0.83812210985745,0.919972468741508,I,Ci,1,0,0
1921,PUNO,-70.018056,-15.823333,CWDm,-0.0402509154045632,0.802693793690673,0.944390419569745,I,C_Ei,-1,0,0
1922,PAMPAHUTA,-70.6775,-15.491389,CWDm,-0.0191792200083833,0.90284222806751,0.944390419569745,I,C_Ei,-1,0,0
1923,CHUQUIBAMBILLA,-70.728333,-14.796389,CWDm,0.0265182186234818,0.872552699244929,0.944390419569745,I,C_Ei,1,0,0
1924,LAMPA,-70.372778,-15.355833,CWDm,-0.0112646380345236,0.943555150611296,0.944390419569745,I,C_Ei,-1,0,0
1925,CABANILLAS,-70.346389,-15.6393,CWDm,-0.0712990969094431,0.649583105966455,0.944390419569745,I,C_Ei,-1,0,0
1926,HUANCANE,-69.7625,-15.203333,CWDm,0.252350863789375,0.106900865584989,0.801756491887419,I,C_Ei,1,0,0
1927,HUARAYA MOHO,-69.491389,-15.389722,CWDm,-0.161149825783972,0.312974561641226,0.944390419569745,I,C_Ei,-1,0,0
1928,CAPACHICA,-69.8443,-15.6158,CWDm,-0.0467101366649471,0.783681555352249,0.944390419569745,I,C_Ei,-1,0,0
